full_name,host_type,language,stars,description
isti-fmt-nlp/tool-NLPtoFP,GitHub,HTML,1,"CMT and FDE tools for feature mining, and feature diagram design."
videki/template-utils,GitHub,Java,1,"Docx, xlsx template engine and pdf converter to provide enterprise document generation capabilities"
CodeObia/DSpace,GitHub,Java,0,DSpace
oaheiw/o2oa,GitHub,JavaScript,0,O2OA - Java企业信息化系统
henning-gerhardt/kitodo-production,GitHub,Java,0,Kitodo.Production
IdahoInstitute/OpenLegislation,GitHub,,0,OpenLegislation is a web service that delivers legislative information from the New York State Senate and Assembly to the public in near-real time.  It is used internally to serve up legislative data for nysenate.gov and the Bluebird-CRM.
MarketTrack/lucene-solr,GitHub,Java,0,Mirror of Apache Lucene + Solr
amirkamran/clarin-dspace,GitHub,Java,0,LINDAT/CLARIN digital repository based on DSpace
NikodemKch/jabref-1,GitHub,Java,0,Graphical Java application for managing BibTeX and biblatex (.bib) databases
Erikmitk/kitodo-production,GitHub,Java,0,Kitodo.Production
gtrujillop/DspaceAccesibilidad,GitHub,Java,0,
rufer7/swissunihockey-game-schedule-pdf-creator,GitHub,Java,0,A web application that generates and serves swiss unihockey game schedules as PDF documents
NicklasAndersson/pdfFieldLister,GitHub,Java,0,Lists fields in a pdf form
hmcts/em-stitching-api,GitHub,Java,0,
ItsNotYou/DSpace,GitHub,Java,0,DSpace extended with an arXiv importer
neo00liu/CrapApi,GitHub,JavaScript,0,Application Programming Interface
BrandwatchLtd/bw-lucene-solr,GitHub,Java,0,Mirror of Apache Lucene + Solr
Opetushallitus/eperusteet-ylops,GitHub,JavaScript,0,Yleissivistävän koulutuksen paikallisten opetussuunnitelmien laadintatyökalu.
ubc/DSpace,GitHub,Java,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
menuka94/syncope,GitHub,Java,0,Mirror of Apache Syncope
NAUMEN-GP/saiku,GitHub,JavaScript,0,saiku analytics
vebqa/vebtal-pdf,GitHub,Java,0,
ub-hsu/DSpace,GitHub,Java,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
muzir/camel,GitHub,Java,0,Apache Camel
SyedAsifAliShah/geoinfoverse,GitHub,Java,0,
ojplg/legup,GitHub,HTML,0,LegUp is a utility for grading legislators.
ScanExam/ScanExam,GitHub,Java,0,
ub-hsu/DSpace,GitHub,Java,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
cma-axelor/axelor-open-suite,GitHub,Java,0,The Axelor Business Suite based on Axelor Development Kit
navikt/fpinfo-historikk,GitHub,Java,0,
txti/inception,GitHub,Java,0,INCEpTION provides a semantic annotation platform offering intelligent annotation assistance and knowledge management.
nuxeo/nuxeo-platform-pdf-utils,GitHub,Java,0,Nuxeo Platform PDF Utils addon
tal-shani/PdfMerger,GitHub,Java,0,Merges pdfs and creates handy outline
zenmd/oscar,GitHub,Java,0,Fork of OSCAR EMR
jonahreinhardt/geocode-list,GitHub,Java,0,Geocode Mailing List / Distance Compairison
Opetushallitus/eperusteet-ylops,GitHub,JavaScript,0,Yleissivistävän koulutuksen paikallisten opetussuunnitelmien laadintatyökalu.
k3KAW8Pnf7mkmdSMPHz27/jabref,GitHub,Java,0,Graphical Java application for managing BibTeX and biblatex (.bib) databases
kaustubhmote/jabref,GitHub,Java,0,Graphical Java application for managing BibTeX and biblatex (.bib) databases
menuka94/syncope,GitHub,Java,0,Mirror of Apache Syncope
CodeObia/DSpace,GitHub,Java,0,DSpace
UbuntuEvangelist/DSpace,GitHub,Java,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
bcircle/alfresco-pdf-toolkit,GitHub,Java,0,The new home of the Alfresco PDF Toolkit (replacing the deprecated Google Code project)
GxscDylan/GitOA,GitHub,JavaScript,0,OA测试项目仓
ItsNotYou/DSpace,GitHub,Java,0,DSpace extended with an arXiv importer
calixtus/jabref,GitHub,Java,0,Graphical Java application for managing BibTeX and biblatex (.bib) databases
amiedavis/sakai,GitHub,Java,0,"Sakai is a freely available, feature-rich technology solution for learning, teaching, research and collaboration. Sakai is an open source software suite developed by a diverse and global adopter community."
NAUMEN-GP/saiku,GitHub,JavaScript,0,saiku analytics
leon-song2000/CrapApi,GitHub,JavaScript,0,Web接口管理工具、API接口管理、文档管理，angularjs+bootstrap+springMVC搭建的免费开源的API接口管理系统
sfo/jabref,GitHub,Java,0,Graphical Java application for managing BibTeX and biblatex (.bib) databases
jboss-fuse/modeshape,GitHub,Java,0,"ModeShape is a distributed, hierarchical, transactional, and consistent data store with support for queries, full-text search, events, versioning, references, and flexible and dynamic schemas. It is very fast, highly available, extremely scalable, and it is 100% open source and written in Java. Clients use the JSR-283 standard Java API for content repositories (aka, JCR) or ModeShape's REST API, and can query content through JDBC and SQL."
miyataken999/community-edition,GitHub,Java,0,Mirror of Alfresco Community Edition (see https://wiki.alfresco.com/wiki/GitHub)
jonahreinhardt/oneida-list-management,GitHub,Java,0,Oneida Casino Mailing List Management
jwillia/kc-old1,GitHub,Java,0,Kuali Coeus
henning-gerhardt/kitodo-production,GitHub,Java,0,Kitodo.Production
ubc/DSpace,GitHub,Java,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
tvesalainen/util,GitHub,Java,0,Utilities
bhits-dev/pcm,GitHub,Java,0,PCM provides service to manage patient provider lists and enables patients to manage their e-consents.
rufer7/swissunihockey-game-schedule-pdf-creator,GitHub,Java,0,A web application that generates and serves swiss unihockey game schedules as PDF documents
fiware-qa/Knowage-Server,GitHub,JavaScript,0,Knowage is the professional open source suite for modern business analytics over traditional sources and big data systems. 
kevin-kariuki/DSpace,GitHub,,0,(Official) The DSpace digital asset management system that powers your Institutional Repository
Harkamal1395/smartcity,GitHub,Java,0,
navikt/sendsoknad,GitHub,Java,0,
eark-project/DNSCore,GitHub,,0,The Core System of the DA-NRW Software Suite. 
phlocbg/phloc-webbasics,GitHub,Java,0,Automatically exported from code.google.com/p/phloc-webbasics
niavasha/docs,GitHub,,0,Lightweight document management system packed with all the features you can expect from big expensive solutions
neo00liu/CrapApi,GitHub,JavaScript,0,Application Programming Interface
IdahoInstitute/OpenLegislation,GitHub,,0,OpenLegislation is a web service that delivers legislative information from the New York State Senate and Assembly to the public in near-real time.  It is used internally to serve up legislative data for nysenate.gov and the Bluebird-CRM.
muzir/camel,GitHub,Java,0,Apache Camel
NicklasAndersson/pdfFieldLister,GitHub,Java,0,Lists fields in a pdf form
ddunig2/jabref,GitHub,Java,0,Graphical Java application for managing BibTeX and biblatex (.bib) databases
Ricksoft-OSS/alfresco-repository,GitHub,Java,0,Metadata and content storage for Alfresco Content Services (Community and Enterprise)
WarpSource/as4-mail,GitHub,Java,0,oasis ebms AS4  implementation of MSH 
matfurrier/SpagoBI,GitHub,Java,0,
gtrujillop/DspaceAccesibilidad,GitHub,Java,0,
1020528175/file-online-preview,GitHub,Python,0,使用spring boot打造文件文档在线预览项目解决方案，支持doc、docx、ppt、pptx、xls、xlsx、zip、rar、mp4、mp3以及众多类文本如txt、html、xml、java、properties、sql、js、md、json、conf、ini、vue、php、py、bat、gitignore等文件在线预览 
anniyanvr/axelor-business-suite,GitHub,Java,0,The Axelor Business Suite based on Axelor Development Kit
